beta1,beta2,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.008057666,0.055459415,0.115680935,0.005445413,0.013552516,0.009953231,0.018868233,0.020839123,0.029282535,0.015019262,0.007112495
0.011875114,0.047963154,0.218753937,0.008402985,0.012183384,0.012244878,0.013850095,0.024241652,0.027486687,0.01319821,0.00641112
0.004154488,0.059640739,0.760429052,0.002426392,0.005474338,0.013354347,0.003139246,0.021151721,0.012761471,0.01146418,0.006814375
0.004201969,0.057290399,0.888492298,0.002109945,0.004742934,0.008934122,0.003406463,0.024510533,0.016327606,0.011292234,0.006739493
0.000161083,0.066211491,0.52551136,0.001135998,0.011011715,0.009505122,0.013344406,0.019370973,0.0209777,0.014188505,0.004967236
0.00377831,0.065178097,0.30245546,0.002915394,0.013491503,0.006232225,0.01421577,0.019827278,0.025133383,0.010637465,0.006721807
0.000811125,0.065590141,0.379039839,0.004003696,0.010097789,0.01549081,0.011503727,0.023450899,0.025850325,0.019124282,0.020835588
0.006808256,0.05856095,0.194084841,0.004534275,0.016387699,0.011437447,0.009133056,0.028448839,0.02514523,0.011974469,0.010241032
0.000144447,0.068835611,0.264148505,0.002414515,0.012993253,0.013707129,0.012623405,0.02413966,0.024719304,0.015678768,0.007909283
0.00222923,0.064285088,0.170934632,0.005857003,0.017892621,0.015050942,0.013770347,0.022700485,0.030349139,0.019085541,0.016922015
1.05E-05,0.071856356,0.469830417,0.000404994,0.007971687,0.016155232,0.00767873,0.02300094,0.01693467,0.01184242,0.014411094
0.000666599,0.065443416,0.313513216,0.001427703,0.019819728,0.00493926,0.017951937,0.018385187,0.034331594,0.014502028,0.023446155
0.001651732,0.066560063,0.001122957,0.007959134,0.016633357,0.00883535,0.015678447,0.0260699,0.032948402,0.016308487,0.014022933
0.006258096,0.061499873,0.393481704,0.00101453,0.013217179,0.009771466,0.01106622,0.018296466,0.024372379,0.01474738,0.012402839
0.008153587,0.061220628,0.210777873,0.003918464,0.011275347,0.013798476,0.009762684,0.024385683,0.02012142,0.016017655,0.011564216
0.00582101,0.05984596,0.318524496,0.001082112,0.010901622,0.016464123,0.012202644,0.026340209,0.018462884,0.017762429,0.006358905
0.000721441,0.066698732,0.362245485,0.000865534,0.014549168,0.012479369,0.012613721,0.020182684,0.027562651,0.01788462,0.012614336
0.002504622,0.066141215,0.470104111,0.001016767,0.008786784,0.013144715,0.008052162,0.023366484,0.019540655,0.013555156,0.044460391
0.00068598,0.066443921,0.20253404,0.006338968,0.014027934,0.016088854,0.009564152,0.025321409,0.022997161,0.006389087,0.019691604
0.005563062,0.059327175,0.593023092,0.001994476,0.005749556,0.015168401,0.00941819,0.020152948,0.027992256,0.010617607,0.015021883
0.000982281,0.065745562,0.075981306,0.008058978,0.01135774,0.023480918,0.016789985,0.023579131,0.030788961,0.011191447,0.006860662
0.002210311,0.062114362,0.176727229,0.007963959,0.013565423,0.013927754,0.016716293,0.018927132,0.039463571,0.021383136,0.00704385
0.001263559,0.067594028,0.227796869,0.006201552,0.008972888,0.017007172,0.014682014,0.021343341,0.021277528,0.018925171,0.008786688
0.007258477,0.056575292,0.017811698,0.008584025,0.012535103,0.020018045,0.012848331,0.031724405,0.021595688,0.021409523,0.007870237
0.001518964,0.064030013,0.214411911,0.003809173,0.016449472,0.009529813,0.016224211,0.025477301,0.021044645,0.020828964,0.007366554
0.002276657,0.066977872,0.404767105,0.004941973,0.007960176,0.010928592,0.008658882,0.019338966,0.027226944,0.016270685,0.013462047
0.002150497,0.064087224,0.531481359,0.002555795,0.008933925,0.010292231,0.008520886,0.020446551,0.029651813,0.016177368,0.01291662
5.36E-06,0.068110733,0.173126499,0.005055375,0.012141873,0.01589866,0.014916878,0.022491866,0.033263584,0.018172861,0.009147374
0.000519152,0.068999517,0.306881468,0.001117914,0.011944585,0.010683094,0.010058107,0.02404853,0.024789399,0.01361519,0.011324032
0.001206275,0.064310684,0.36216025,0.002485805,0.011901052,0.016949504,0.012580763,0.023973977,0.022850426,0.016115085,0.009749143
0.000475263,0.067434805,0.637833176,0.000298039,0.007238055,0.01053195,0.006667309,0.019990182,0.022739937,0.008676858,0.010323117
0.003644296,0.063402502,0.732709745,0.000865449,0.007994063,0.007872174,0.003379219,0.017832922,0.019542879,0.012337421,0.007408646
0.002064829,0.06463117,0.558067299,0.003371308,0.007457024,0.010130156,0.010818845,0.016484588,0.025584046,0.014828665,0.018667033
0.002039842,0.062502767,0.575429336,0.006173644,0.006792126,0.009631269,0.009608305,0.022159581,0.021071884,0.021392926,0.012852468
0.005025992,0.059011687,0.473411357,0.006357715,0.010813237,0.011390948,0.007374331,0.018946016,0.02243339,0.012958968,0.007242501
0.002251451,0.064589344,0.56027816,6.93E-05,0.008789345,0.011434262,0.0131142,0.015613623,0.022581203,0.013753607,0.016529062
6.86E-05,0.068111679,0.050380371,0.00741838,0.010729169,0.01266182,0.016876112,0.0267991,0.032265469,0.01943037,0.010296001
0.000967549,0.065804157,0.106262864,0.008046781,0.013710117,0.014212527,0.016844829,0.023294076,0.02147075,0.021098624,0.013591447
0.000176421,0.067854942,0.347192045,0.008162116,0.005096642,0.019058502,0.011129804,0.022725314,0.020969465,0.020412245,0.006973939
0.002312005,0.060150994,0.272351013,0.005501696,0.012414977,0.018663579,0.017298693,0.024241311,0.023012826,0.018196924,0.00552178
0.004390154,0.06200783,0.009194275,0.010811352,0.014828539,0.013088158,0.02180267,0.021429432,0.021741283,0.019606888,0.004434661
0.002857589,0.06107002,0.366033676,0.00994651,0.006908086,0.011798396,0.017688322,0.022573413,0.02314358,0.015166423,0.006646413
0.006136446,0.057920081,0.078092297,0.008322177,0.013815076,0.010237005,0.019444386,0.021374746,0.031759848,0.018662808,0.00589274
0.003197864,0.060745505,0.096839235,0.007674283,0.01598318,0.017202254,0.016469448,0.024136275,0.02684405,0.011622468,0.007174952
0.002166145,0.063099496,0.010082426,0.00744976,0.015826336,0.017756687,0.014705737,0.028413794,0.027765221,0.00031439,0.029139462
0.003435163,0.061979768,0.453773612,0.002695199,0.01045408,0.010677118,0.009210341,0.02327028,0.033069214,0.028392959,0.01009755
0.001338943,0.066516136,0.360203531,0.00416307,0.013242536,0.010044979,0.008379158,0.024599882,0.020681294,0.007214986,0.007648194
0.001087454,0.064959561,0.101714403,0.001797971,0.020643069,0.010506947,0.01877074,0.027035241,0.021889766,0.01473479,0.007133823
0.001302807,0.064998866,0.175502569,0.004769869,0.015786655,0.007812649,0.014111972,0.027515341,0.027210873,0.012943288,0.00722484
0.003102106,0.063309245,0.027470161,0.009573077,0.011242685,0.017963017,0.021831217,0.021457821,0.02413366,0.016439378,0.009570922
0.004881082,0.061170332,0.201470603,0.007515534,0.011936766,0.008073933,0.016968482,0.016866335,0.029566972,0.01878191,0.013088829
0.007855288,0.0536977,0.282562468,0.004934712,0.012375954,0.011058887,0.014647597,0.024394446,0.026356502,0.019215068,0.010532233
0.002078954,0.062452522,0.903216047,0.000482293,0.005215155,0.007774184,0.007018765,0.014022886,0.017188716,0.01781948,0.009877172
0.00023575,0.064796248,0.788968051,0.001882889,0.00811347,0.008997883,0.010415977,0.015572154,0.015345718,0.008388291,0.004138977
0.000464432,0.061236709,0.799621663,0.002583878,0.00793199,0.006111974,0.007431095,0.022758064,0.020143227,0.009073488,0.009221773
0.006195335,0.057148349,0.59401269,0.001455145,0.010945734,0.005822847,0.007488575,0.021400364,0.019950421,0.006101677,0.012506941
0.009708006,0.051226837,0.559100182,0.000842668,0.010684955,0.007870269,0.012558198,0.020826103,0.023135876,0.005315649,0.010061843
0.005187006,0.059831471,0.348680782,0.002288692,0.014740192,0.007291057,0.016465417,0.016170195,0.027944232,0.011828515,0.014379863
0.010604267,0.053777476,0.412718899,0.001836888,0.013244835,0.010712491,0.011462953,0.019339017,0.018543563,0.012489822,0.00711043
0.002641361,0.064398416,0.49884901,0.001807908,0.009735712,0.011715505,0.014743774,0.01946191,0.018169412,0.012129723,0.014238662
0.009216419,0.055134289,0.094690641,0.003329707,0.015313895,0.012341086,0.016202022,0.028589859,0.024197436,0.02183875,0.008903284
0.000474159,0.065349184,0.34320899,0.006679555,0.010613498,0.011587032,0.010036512,0.027374743,0.021100727,0.013437903,0.008854489
0.001323544,0.062795308,0.691466007,0.002095153,0.007673505,0.014817575,0.003995539,0.022545763,0.021532738,0.016355924,0.01371131
0.003984449,0.061936558,0.535428159,0.002869657,0.006340992,0.012381241,0.003881108,0.025500496,0.026453805,0.007744291,0.011873686
0.002440077,0.063386006,0.032249876,0.007399712,0.013708744,0.01563806,0.017863434,0.020734439,0.033937691,0.022573514,0.01481346
0.000945835,0.063289562,0.635779559,0.003441903,0.00693093,0.015334574,0.011823838,0.016581922,0.025821259,0.010561176,0.009204361
0.000600461,0.067648436,0.778004604,0.000502464,0.00447413,0.008230826,0.005824056,0.018020423,0.018693474,0.008464079,0.00832321
0.002946055,0.065240164,0.435263179,0.001975477,0.011476694,0.011239732,0.008635943,0.020201787,0.017038036,0.008628106,0.013114197
0.001367316,0.065497606,0.000991615,0.007904663,0.016081536,0.014335661,0.014706969,0.025268801,0.025141986,0.020007483,0.008016561
0.002401802,0.063582258,0.13408941,0.005138871,0.013005456,0.019360044,0.018419491,0.022518709,0.025426323,0.023808095,0.007595476
0.00044131,0.061760674,0.433421169,0.002031412,0.014768488,0.012728262,0.014508211,0.019549602,0.033826586,0.017157417,0.007802436
0.000801302,0.064024005,0.212949006,0.010744971,0.010229359,0.012130138,0.01219105,0.024448176,0.028585862,0.007183114,0.019287926
0.002048453,0.063040371,0.357278181,0.008484351,0.008299429,0.013302015,0.015499262,0.023876774,0.016538748,0.014830439,0.007223784
0.005774443,0.056277369,0.626333222,0.002617276,0.010391448,0.009585455,0.01283588,0.01883802,0.014927182,0.015466873,0.004639035
0.007706543,0.057111111,0.220204176,0.010209535,0.007008274,0.01352735,0.012357277,0.024523164,0.021491639,0.018163822,0.010842441
0.001353896,0.067332341,0.064765939,0.007530743,0.012827944,0.010952185,0.016377239,0.021965103,0.030384621,0.017408084,0.007020074
0.002362258,0.064292374,0.121350152,0.006633816,0.011754666,0.012607711,0.01722003,0.027924379,0.021300496,0.008581138,0.016849935
0.013644366,0.047124356,0.236259774,0.000628957,0.015576766,0.008798728,0.017048853,0.022478521,0.024078138,0.013975428,0.011639182
0.001501573,0.064006321,0.609536043,0.005122858,0.007987796,0.008145829,0.012404668,0.012041574,0.024432818,0.002847826,0.011432099
0.005190061,0.060641853,0.293173244,0.006785277,0.010813575,0.006244439,0.010660257,0.023849473,0.025103414,0.01733876,0.013385663
0.001301394,0.064736071,0.401848669,0.003489096,0.011794377,0.014604141,0.013126266,0.016863553,0.021739532,0.012815817,0.007679782
0.002667349,0.059844339,0.169875319,0.009820789,0.011250853,0.013587897,0.018855624,0.025127435,0.025187154,0.018933908,0.006226669
0.001684146,0.060718921,0.392810944,0.00483303,0.013962573,0.012288945,0.020540695,0.018782027,0.017395024,0.01282328,0.013330872
0.002113139,0.061383532,0.870741776,0.000303529,0.004133844,0.008366132,0.011647209,0.014494497,0.019127924,0.013140802,0.012488719
0.007641033,0.054960261,0.291504413,0.00780912,0.012609307,0.007353469,0.015377515,0.024018041,0.017115136,0.013349158,0.00756139
