beta1,beta2,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.003301958,0.057959506,0.012672985,0.014399565,0.011440878,0.027015882,0.024219782,0.028577616,0.010954116,0.008466521
0.000563834,0.065523653,0.009861672,0.016081824,0.01991527,0.018994391,0.026561102,0.023476165,0.01573752,0.009241882
0.003362492,0.063272927,0.009528808,0.013673513,0.014653522,0.016893438,0.026576243,0.025285565,0.020598769,0.00926683
0.002740644,0.06481416,0.007027938,0.017536692,0.010346162,0.021087727,0.022953347,0.025867828,0.015369517,0.007775106
0.000932185,0.066715236,0.00761899,0.014091253,0.015341681,0.01481149,0.029245794,0.02249128,0.020323996,0.006438487
0.001205577,0.064787717,0.007876133,0.017025075,0.008521278,0.020851215,0.029019046,0.025233352,0.018185804,0.0182451
0.000863542,0.067893842,0.009021016,0.014290215,0.01375694,0.016357803,0.026135347,0.024158682,0.020624309,0.007978067
0.000504239,0.071403529,0.008855625,0.011178275,0.013642337,0.016405494,0.025930894,0.02491962,0.018202306,0.004055223
0.003389921,0.060093455,0.012710274,0.0143527,0.013446698,0.014563588,0.027612351,0.032179587,0.023436365,0.013519563
0.00186199,0.066281308,0.008532935,0.011625527,0.018792946,0.014530105,0.024178367,0.032286909,0.022119681,0.014825943
0.000606662,0.068020504,0.008727272,0.016723869,0.005707008,0.012823197,0.029566182,0.030165151,0.027930295,0.014336917
0.00678308,0.066639068,0.005623646,0.015401865,0.01138063,0.017546071,0.020363701,0.019783207,0.021169887,0.007769212
0.000154688,0.069629587,0.003745119,0.018989447,0.010871416,0.018429828,0.02692273,0.023691931,0.016816002,0.013241266
0.00437788,0.064911771,0.003546144,0.017705864,0.011066089,0.01579567,0.022818821,0.028479483,0.017625867,0.008269329
0.005022079,0.061563842,0.009373584,0.01620225,0.007337813,0.01630889,0.022975708,0.033992149,0.01859808,0.010913343
0.009721367,0.0538791,0.011002105,0.017143211,0.010420927,0.015355029,0.023657008,0.0312789,0.019356191,0.008540197
0.007106233,0.058230005,0.006195891,0.015996184,0.014823388,0.019455497,0.022340703,0.029455302,0.017757942,0.006233014
0.002015501,0.065753974,0.007293048,0.014360437,0.014005431,0.013838136,0.028348,0.026675588,0.016686828,0.015500953
0.003056289,0.064375536,0.004855603,0.016358688,0.011535183,0.016425281,0.026313519,0.032802173,0.016787834,0.010430623
0.003494674,0.060448145,0.006829942,0.014707381,0.019429432,0.021192943,0.022469769,0.032342521,0.023495808,0.006742731
0.004312662,0.061260815,0.011879029,0.01062762,0.016948617,0.015903467,0.022066183,0.040330096,0.025676404,0.035268484
0.005600109,0.057487378,0.0114668,0.013687919,0.014380802,0.019090375,0.023125264,0.034018957,0.020816124,0.005351756
0.006909904,0.060538434,0.009469886,0.011254427,0.012038337,0.013310479,0.029282742,0.026107994,0.019255168,0.009193518
0.003101653,0.064529267,0.008099231,0.015016965,0.014414837,0.015138815,0.028338738,0.028471312,0.021309124,0.012280123
0.004900428,0.062488892,0.00543676,0.015519048,0.01467786,0.01658448,0.025843579,0.029259907,0.013897458,0.014390234
0.002893341,0.064267326,0.008257606,0.012921183,0.019107749,0.018807818,0.025890717,0.024090195,0.026295014,0.009333112
0.003105566,0.062883568,0.003360129,0.017569966,0.016533777,0.015827948,0.026188544,0.023743145,0.007823092,0.014282946
0.006186934,0.060455986,0.01503103,0.007837289,0.014185216,0.021118131,0.025886045,0.022503116,0.015131717,0.006448212
0.006212789,0.058365352,0.012679583,0.013952594,0.011951889,0.017842918,0.025515176,0.024641342,0.016985842,0.00544948
9.30E-05,0.067407994,0.012839623,0.011760145,0.018356523,0.01559686,0.023732042,0.023280302,0.020155513,0.00727338
0.001198669,0.065578492,0.011343537,0.014715823,0.010399912,0.021965616,0.019493651,0.030923498,0.021120556,0.008664811
0.002569426,0.062755713,0.009090847,0.017067246,0.012467897,0.015647189,0.026340436,0.020262664,0.020758481,0.015655332
0.000201392,0.065827685,0.00899609,0.014774829,0.016876897,0.023981276,0.022135848,0.025612391,0.018710358,0.007583524
0.002667963,0.063224083,0.007068992,0.013799439,0.023758107,0.019152014,0.021739074,0.033320164,0.014347915,0.008811216
0.003422093,0.062462316,0.008732358,0.017194076,0.013345324,0.014657393,0.023711253,0.029772985,0.015308193,0.009384765
