beta1,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.043236192,0.275649078,0.00860758,0.009436072,0.011999161,0.018394869,0.022721978,0.011772168,0.013821688,0.005709652
0.043101674,0.002393849,0.012984283,0.016055623,0.007116342,0.019742813,0.023156925,0.022446373,0.020339469,0.010506674
0.043368534,0.077063735,0.012972872,0.010656654,0.014768679,0.018163133,0.022467595,0.018529406,0.015591574,0.004698317
0.043332068,0.172329529,0.009709402,0.009659572,0.008537725,0.013766211,0.024589578,0.016516227,0.009574959,0.009571651
0.043022296,0.020446079,0.004944468,0.016919748,0.004351492,0.020105267,0.020820491,0.026774945,0.014775008,0.008275527
0.043345152,0.394404062,0.005529205,0.009345092,0.014021568,0.014142073,0.019798408,0.020556233,0.013998119,0.00474546
0.042811476,0.063323281,0.011990474,0.013721272,0.010869816,0.017115234,0.023161859,0.017093778,0.017450196,0.004149247
0.042931262,0.250595051,0.008116043,0.0128531,0.004448033,0.011566399,0.02460525,0.016990252,0.016419624,0.009261912
0.043346976,0.420216937,0.00661213,0.00737803,0.009531691,0.011951916,0.018779754,0.012497959,0.006913016,0.006952058
0.043609404,0.395878107,0.007430861,0.007643332,0.011231542,0.008955961,0.022003299,0.024356739,0.010796558,0.008115839
0.043263262,0.187718406,0.005201361,0.010381099,0.008019215,0.015741708,0.024913329,0.017619112,0.013560547,0.011971503
0.043479352,0.233398207,0.009963967,0.010693331,0.01350667,0.015402357,0.021256576,0.029034697,0.011645599,0.008183509
0.043213886,0.265387128,0.006523001,0.008034903,0.014012007,0.013406903,0.021165572,0.014422251,0.011385175,0.005729727
0.043317673,0.025405967,0.00885057,0.013377231,0.016771921,0.0162161,0.022627022,0.015525413,0.015578288,0.007406587
0.043437444,0.2072853,0.01209515,0.008045995,0.014815457,0.021243852,0.021986391,0.017223543,0.016274978,0.005336975
0.043399278,0.004445932,0.010544737,0.011056676,0.014295917,0.019190105,0.022552498,0.023427586,0.014126875,0.006797771
0.043244319,0.01705966,0.011809372,0.01198927,0.010226015,0.012002153,0.02645516,0.014269872,0.010583151,0.006855444
0.043585239,0.568436551,0.001640772,0.008855326,0.007299925,0.013913143,0.01638608,0.025168505,0.013837432,0.009593069
0.043556312,0.216227342,0.00601435,0.011688259,0.012718168,0.014424805,0.021711101,0.014570232,0.016163837,0.005635301
0.043336274,0.370979646,0.01371875,0.00778596,0.012110945,0.009824619,0.019684184,0.02326439,0.012762465,0.007698059
0.043933754,0.250150165,0.008037586,0.010643886,0.006312229,0.014112633,0.021783331,0.020008726,0.014784321,0.011560506
0.043120979,0.055813763,0.016414341,0.00729559,0.011795195,0.018066964,0.02150526,0.02294942,0.014867738,0.008589747
0.04276542,0.443740634,0.006382915,0.01042495,0.007697964,0.010446628,0.021915197,0.014968056,0.009741345,0.009781662
0.042931529,0.226960093,0.006021558,0.011351223,0.009244026,0.017406335,0.017489174,0.018076918,0.015935035,0.005184498
0.042746408,0.449300536,0.005941225,0.01189884,0.005139753,0.014780312,0.020775439,0.023102783,0.006128501,0.015561072
0.043140015,0.562103509,0.008316797,0.007037313,0.011006194,0.011971369,0.023789134,0.016233381,0.011404818,0.004789372
0.042911828,0.213100334,0.010474507,0.008069557,0.016847576,0.01322764,0.021377143,0.02400905,0.018162021,0.006468795
0.043477554,0.244218305,0.005481408,0.009746059,0.011893152,0.017571292,0.019323955,0.021598452,0.014553503,0.004515744
0.043583997,0.192898866,0.006963861,0.011621752,0.012746347,0.018819048,0.018737282,0.016497135,0.016617544,0.003738475
0.042905771,0.24693933,0.007412421,0.012142253,0.006414083,0.016578908,0.020054223,0.021790785,0.015215893,0.007758078
0.042699989,0.367331678,0.00646373,0.012687622,0.005414063,0.01041343,0.021009175,0.024301606,0.016391408,0.010659615
0.042868629,0.121621081,0.00934064,0.014107226,0.004593776,0.014614444,0.019234968,0.021479508,0.011842102,0.009474691
0.042862422,0.033559861,0.011327643,0.012937786,0.011101757,0.019978188,0.02241647,0.029626349,0.018695823,0.010844127
0.043333881,0.151500555,0.007251688,0.011702832,0.011989426,0.01510395,0.024055194,0.022535902,0.014599684,0.007904684
0.042924812,0.131074607,0.014716063,0.009040601,0.008798886,0.016167332,0.025498883,0.021346244,0.009015435,0.007956164
0.042990187,0.18919261,0.015867588,0.006084046,0.011937345,0.019372049,0.018841471,0.017494221,0.012028702,0.006012068
0.042981826,0.448384326,0.011032729,0.005778836,0.012363427,0.006028645,0.022134918,0.022143231,0.012861751,0.005721254
0.043007413,0.138723645,0.007717515,0.013374995,0.010372277,0.01101967,0.022161846,0.022421082,0.016057081,0.018235046
0.042675461,0.690143695,0.003422075,0.005571738,0.01176316,0.003370319,0.022324553,0.018648572,0.012275501,0.00846257
0.042695622,0.867359068,0.00642989,0.004580878,0.004201721,0.007623751,0.015269752,0.02412794,0.013158346,0.00525926
0.042856224,0.19672844,0.007631408,0.012557993,0.009917587,0.012828085,0.025973637,0.022571665,0.015019414,0.006716907
0.042775181,0.292762589,0.009574424,0.011140198,0.007981971,0.017702147,0.020619548,0.014557184,0.013378665,0.006578838
0.043082594,0.344164553,0.007023901,0.007870448,0.007546108,0.006463461,0.033092076,0.01504969,0.016973237,0.011539813
0.042742636,0.229736969,0.005036544,0.012432246,0.008536669,0.013777802,0.023642684,0.013731368,0.006676675,0.013787664
0.04224035,0.435805741,0.002194067,0.012489077,0.004056954,0.013841476,0.020924489,0.018634459,0.012973261,0.007480277
0.0428142,0.808559154,0.003792594,0.006973659,0.007157577,0.003358522,0.014373891,0.018293567,0.012875768,0.006712747
0.042877337,0.742226103,0.003178664,0.002382072,0.015014631,0.003548153,0.020706707,0.017371042,0.008745797,0.008725222
0.043462007,0.718932225,0.00086151,0.008335775,0.008975759,0.005202902,0.020628911,0.014599253,0.007059909,0.008957614
0.043060841,0.960823546,0.000371327,0.003576862,0.006677348,0.001115084,0.022580122,0.010035679,0.01015255,0.011202904
0.042722853,0.421017632,0.000167682,0.010820427,0.013328716,0.011590721,0.017615848,0.019540788,0.016578903,0.013480879
0.04257946,0.172818206,0.007853606,0.013386008,0.003540592,0.012857125,0.02653075,0.01637722,0.012398501,0.006542582
0.042505564,0.044828055,0.011549874,0.01393886,0.003562326,0.017745781,0.020540556,0.021280209,0.010561809,0.014752332
0.042603506,0.231249254,0.009629666,0.012813962,0.007433426,0.013588047,0.020812668,0.013565755,0.011402033,0.004731613
0.042757364,0.517264266,0.005530324,0.009723448,0.008308551,0.011807746,0.020310339,0.014516718,0.011578622,0.004468234
0.042815075,0.361313486,0.004302691,0.008756942,0.014030003,0.019087076,0.019772131,0.016191816,0.012623937,0.009880487
0.042314391,0.567473501,0.004367357,0.014285355,0.008909138,0.009027394,0.016376718,0.024965406,0.015033051,0.007204153
0.042319734,0.711912064,0.008313545,0.00405008,0.008794799,0.005305942,0.015228049,0.022876723,0.008802556,0.00776482
0.04251735,0.231034579,0.008351522,0.012376282,0.008814169,0.017842637,0.017578311,0.021969141,0.019274165,0.007892239
0.042341512,0.178683592,0.01083898,0.008859572,0.011199992,0.021279669,0.021385021,0.016865958,0.020581671,0.009144283
0.042197522,0.446280725,0.011647667,0.007723565,0.003725708,0.010622515,0.021699276,0.014432009,0.016220538,0.005307183
0.042397532,0.350033385,0.012668984,0.006870392,0.012469419,0.011033207,0.022414431,0.022484479,0.012954547,0.009687204
0.04330473,0.19431523,0.00691478,0.01484585,0.001859572,0.014284464,0.024272028,0.020218338,0.010299045,0.012553725
0.043343951,0.037486481,0.011536989,0.010243041,0.011707264,0.017262085,0.025378061,0.014142626,0.014207371,0.016782554
0.043051159,0.325342214,0.007228744,0.010367287,0.00914792,0.011071215,0.021740847,0.020840483,0.018544675,0.005292702
0.043160484,0.521133548,0.006333885,0.010557074,0.005868089,0.010687356,0.019765039,0.017250953,0.008049904,0.007945712
0.042960311,0.765224767,0.003783149,0.001610137,0.007035248,0.008586861,0.014967109,0.021136174,0.012130842,0.004874612
0.042820062,0.068076831,0.00992259,0.014464706,0.009471014,0.017337728,0.024547225,0.024276075,0.020719912,0.012061792
0.043094883,0.276719976,0.009216218,0.008440823,0.0128056,0.011322277,0.025928528,0.011300288,0.010182308,0.005050438
0.042971985,0.427402204,0.006955824,0.00671171,0.006933654,0.015916321,0.014738929,0.024250181,0.00477934,0.021630152
0.043032973,0.281715423,0.001488692,0.017608516,0.00255337,0.013058785,0.024868555,0.010946079,0.007680092,0.033141324
0.042845715,0.641833179,0.006852537,0.008418685,0.007725364,0.01252315,0.01383084,0.01716287,0.009887418,0.004534786
0.043247031,0.407274049,0.006057966,0.007960492,0.013450134,0.011884518,0.021213499,0.01765713,0.009450944,0.008742511
0.043466562,0.372480659,0.009906015,0.007785626,0.013278641,0.013864237,0.017133566,0.02013824,0.012969835,0.004594873
0.043596376,0.327661113,0.006163746,0.011489587,0.005621217,0.018552317,0.018656373,0.018639829,0.01209946,0.010370619
0.043085712,0.190069543,0.013379106,0.008572925,0.007229665,0.013629166,0.020346815,0.02118594,0.008858744,0.007765505
0.043660622,0.106711831,0.009178763,0.012137423,0.009946634,0.018313244,0.023010791,0.02307216,0.012894203,0.007941164
0.04322219,0.037543465,0.00626346,0.015839273,0.005282714,0.022586364,0.022748237,0.020464388,0.023267218,0.023215219
0.043061097,0.361029054,0.009647214,0.009466433,0.003998005,0.013934004,0.021831355,0.019630626,0.01372216,0.007708097
0.04282384,0.400764138,0.001851129,0.011571331,0.00995843,0.013661696,0.021925017,0.014336492,0.013369916,0.004850416
0.042921992,0.267866305,0.014346288,0.006433463,0.006656613,0.010348961,0.022927775,0.019714902,0.014575065,0.011861052
