beta1,beta2,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.004114363,0.039262424,0.480915218,0.002199204,0.015725965,0.009424956,0.014524154,0.02231734,0.019500208,0.017145603,0.007653026
0.000358877,0.044297589,0.208988376,0.005243551,0.013496112,0.01523315,0.014648544,0.019942624,0.030560317,0.004908403,0.01029933
0.008390167,0.038451556,0.302323075,0.003830854,0.009063453,0.018344861,0.012007293,0.021469023,0.025054365,0.010362095,0.008200549
0.000545827,0.043809745,0.495899047,0.00351835,0.012947039,0.004789679,0.006389213,0.02140167,0.033232877,0.015395971,0.016713397
0.001985364,0.043207453,0.449119395,0.009416538,0.0055295,0.018498667,0.006368271,0.021033767,0.027960113,0.008542574,0.022522314
0.003194021,0.040308874,0.084410878,0.008508599,0.011056857,0.020984781,0.018975261,0.018718914,0.04083525,0.018120096,0.008252692
0.000305996,0.045335162,0.269798307,0.003440446,0.01032479,0.016570737,0.0165606,0.02158797,0.026028975,0.018388979,0.010234172
0.000949984,0.041464724,0.580461231,0.004845024,0.006394298,0.017297599,0.010909211,0.0199765,0.029541365,0.013587705,0.014135872
0.006281576,0.03809122,0.288040654,0.002591293,0.019163025,0.005824717,0.013455447,0.024329389,0.025851774,0.018970046,0.007807566
0.000398562,0.046349446,0.771112632,0.001199256,0.006705711,0.01252659,0.010474896,0.016394025,0.019864092,0.005303965,0.008129182
0.001836975,0.042223465,0.057056843,0.009283382,0.010940063,0.018135819,0.018391581,0.025923301,0.021666335,0.014978705,0.007711244
0.001472931,0.044358769,0.573443194,0.004449492,0.009978859,0.00933015,0.011003485,0.01786288,0.0253484,0.017924231,0.012099922
0.001115074,0.048806111,0.79391829,0.000706867,0.006525189,0.005468508,0.006485713,0.012954162,0.027368325,0.01340111,0.008691943
0.004269328,0.042619203,0.253146537,0.000687465,0.013917023,0.008596128,0.014481766,0.021706736,0.024954875,0.01536799,0.007197909
0.006697168,0.036878721,0.373561938,0.003202436,0.012983806,0.010968728,0.013254042,0.023376244,0.02470478,0.015573366,0.011568117
0.003499372,0.040105833,0.018865699,0.00820849,0.014452275,0.01019362,0.017793599,0.022754868,0.037485917,0.014398564,0.014975183
0.002424239,0.04085404,0.280903059,0.005588325,0.012944165,0.014939702,0.01138636,0.021790197,0.033469646,0.013532652,0.014164612
0.00021777,0.046643709,0.560066656,0.004767828,0.007386418,0.009598897,0.012871475,0.015816051,0.026065062,0.007987004,0.008102566
0.000855092,0.038457966,0.126565576,0.006457735,0.012757167,0.015042118,0.017007175,0.026135144,0.034047806,0.016096554,0.012464433
0.0085735,0.038572057,0.631608326,0.004109218,0.009836961,0.010306831,0.01104528,0.01340855,0.027277195,0.009890787,0.010970649
0.001311697,0.042842835,0.465640995,0.003264392,0.015263948,0.002967697,0.009991639,0.022622727,0.026980513,0.005990432,0.01624364
5.58E-05,0.046205412,0.435705944,0.005531575,0.009572739,0.006271874,0.009232778,0.020415509,0.030846827,0.023243294,0.009736092
0.004503171,0.040459922,0.307985535,0.004451874,0.014615301,0.015492488,0.015320092,0.021828873,0.021568693,0.011689679,0.017814949
0.000617008,0.044003797,0.281961173,0.004046407,0.010982153,0.013315072,0.014154315,0.022591334,0.027024487,0.016142981,0.008952431
0.005653219,0.036734237,0.055605371,0.004328982,0.018430901,0.02,0.017028054,0.023935725,0.027023529,0.013829889,0.005827013
0.002537671,0.040016261,0.113682923,0.009043301,0.012301477,0.012526376,0.016054497,0.026987809,0.028916495,0.008560656,0.02492395
0.001161115,0.046891013,0.948543001,0.002636829,0.001513816,0.011116913,0.003870622,0.014814728,0.027145181,0.007479073,0.008649998
0.002599097,0.043795481,0.416589546,0.005628524,0.009733507,0.007172483,0.016633382,0.019069347,0.023996203,0.014519364,0.00924069
0.00628136,0.037085753,0.266609882,0.002965162,0.009198524,0.023693588,0.014835162,0.021311645,0.031916091,0.018980243,0.0193285
0.004972995,0.040063118,0.457376634,0.008811794,0.004709349,0.022507966,0.011491975,0.020528768,0.023617349,0.010967416,0.014429061
0.002756486,0.042229926,0.232989044,0.009710412,0.01150442,0.009590334,0.013090559,0.023298084,0.024731836,0.019034262,0.0074394
0.004894578,0.033956878,0.043425309,0.011635153,0.009593371,0.02242893,0.015583597,0.028102628,0.037775024,0.014408682,0.009483469
0.000601262,0.046603714,0.372854154,0.00902511,0.007778955,0.012528253,0.010175114,0.020021185,0.023173162,0.02337723,0.010885843
0.002668133,0.040446722,0.003001793,0.007185716,0.014316858,0.017009638,0.017289493,0.024714837,0.029000938,0.017828987,0.011053375
0.001340916,0.043677163,0.443671391,0.003545032,0.012071671,0.012313684,0.01220328,0.020242307,0.024335912,0.011360394,0.014831781
0.00566465,0.040371331,0.320435135,0.006240781,0.006609227,0.020198615,0.013365652,0.019564944,0.030252569,0.020196272,0.013736971
0.00139153,0.045958313,0.693115296,0.000127346,0.009448784,0.008541489,0.011267551,0.018236628,0.018588006,0.007788052,0.007398581
0.005803185,0.040618484,0.660477232,0.002938251,0.007449752,0.009950334,0.011379705,0.018406417,0.022479741,0.013744497,0.017424827
0.005479488,0.038631912,0.416973795,0.007089645,0.009304389,0.01386285,0.012080475,0.018306895,0.033194915,0.022252459,0.014650041
0.000709409,0.04476654,0.595097519,0.003960936,0.006412422,0.009748115,0.013603697,0.017507133,0.026633764,0.013659723,0.008038278
0.001832131,0.044509639,0.588597196,0.003385046,0.008784772,0.009244873,0.008476087,0.018321052,0.028628376,0.012425401,0.008976433
0.000788143,0.043024544,0.270385719,0.002915533,0.01163905,0.013851875,0.016972119,0.027626856,0.021130792,0.017330161,0.009167783
0.001830572,0.050473033,0.942591148,0.001342607,0.002047044,0.007635821,0.007436309,0.011819521,0.020211306,0.008608839,0.008361323
8.92E-06,0.047588412,0.217208507,0.010105395,0.012580994,0.010313769,0.016906364,0.013631922,0.035202088,0.012592482,0.008046098
0.003135238,0.038055103,0.174009671,0.009431833,0.012139001,0.013330683,0.016666025,0.021682138,0.042833857,0.007834136,0.018653143
0.001960714,0.041675821,0.147199583,0.008423089,0.010164016,0.02169858,0.015772113,0.018197706,0.036558748,0.020339909,0.023019784
0.003074065,0.038396357,0.310596773,0.007092013,0.007603722,0.024491603,0.013221097,0.022029358,0.035809084,0.023537909,0.015092868
