beta1,beta2,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.000898412,0.041719155,0.006123193,0.016731658,0.015528141,0.021022772,0.023805746,0.027952491,0.020853285,0.021485266
0.001172275,0.038551826,0.012546275,0.018296329,0.008363298,0.020594499,0.021859032,0.03356722,0.0161716,0.006241562
0.00042145,0.039514165,0.008145592,0.012357284,0.020636114,0.015410742,0.026614997,0.035098625,0.020242817,0.006816407
0.000334849,0.041715078,0.01380564,0.013258172,0.015601405,0.019649841,0.023790966,0.026357464,0.017711813,0.005452781
0.003945247,0.038049913,0.010301234,0.012306397,0.015717427,0.01995188,0.027396448,0.022606397,0.023039652,0.012241076
0.00808901,0.035385729,0.007402717,0.01786925,0.015643323,0.015800323,0.029184087,0.016917758,0.015725659,0.005159369
0.000942001,0.039905067,0.003926731,0.01525763,0.016562914,0.019282278,0.027913474,0.034246727,0.019829159,0.008414048
9.59E-05,0.037212571,0.008216256,0.017796298,0.020175786,0.024295218,0.026000671,0.030587839,0.022639306,0.010104541
0.000962095,0.039888207,0.009041679,0.014845687,0.020407848,0.013950477,0.02391392,0.037742,0.016415221,0.029771686
0.00018673,0.04280442,0.007008017,0.015432955,0.016784514,0.015377295,0.024359385,0.031697597,0.005199091,0.020355421
0.004812334,0.037767488,0.00535412,0.018476146,0.01679407,0.019286303,0.020742678,0.034707369,0.013220787,0.033903508
0.000992697,0.046579617,0.006742492,0.011886254,0.017998396,0.014488533,0.024096371,0.025646121,0.019212632,0.007674833
0.000657623,0.042131446,0.010222837,0.011264658,0.018087004,0.014685312,0.027993423,0.027826378,0.019987486,0.007524863
0.000135203,0.043085171,0.005697518,0.015452552,0.015037155,0.01682525,0.025677213,0.030558638,0.005938092,0.015870522
0.005460203,0.034840057,0.00894743,0.017623402,0.015350528,0.014251219,0.026652391,0.030159135,0.018717396,0.005825624
0.000540794,0.041585517,0.01626254,0.01394374,0.013399375,0.024279716,0.020721118,0.024894286,0.021857509,0.005757688
0.001973623,0.039501024,0.01199288,0.010282282,0.018941375,0.019009967,0.018542484,0.049100913,0.018740393,0.022633259
